	NONE_FILE	SQLITE_DB_FILE	SQLITE_JOURNAL_FILE	SQLITE_WAL_FILE	SQLITE_TEMP_FILE	MULTI_FILE	EXEC_FILE	RESOURCE_FILE	TEMP_FILE	UDROID_IO_FILE	UDROID_FILELS_FILE	UDROID_MEM_FILE	UDROID_MEMDETAIL_FILE	ETC_FILE
R	0	0	0	0	0	0	0	0	0	0	0	0	0	32
W	0	32	116	0	0	0	0	16	0	0	0	0	0	88
N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
